"12/07/2025, 07:00 PM EST","Israel Live News","whatsapp-group","Amudim",""
"12/07/2025, 07:00 PM EST","Israel Breaking News","whatsapp-group","PCS",""
"12/07/2025, 07:00 PM EST","Jewish Breaking News","whatsapp-group","chemedhealth.org",""
"12/07/2025, 07:00 PM EST","Lakewood Scoop","whatsapp","Kollel Mashkimim",""
"12/07/2025, 07:00 PM EST","CBN","whatsapp-group","Kollel Mashkimim",""
"12/07/2025, 06:00 PM EST","Israel Live News","whatsapp-group TIME SENSITIVE","dovi beylus",""
"12/07/2025, 04:00 PM EST","Lakewood Scoop","whatsapp-group","Kollel Mashkimim",""
"12/07/2025, 01:00 PM EST","CBN","whatsapp-group TIME SENSITIVE","Shalom Ohalecha",""
"12/07/2025, 01:00 PM EST","Meaningful Minute","email","Amudim",""
"12/07/2025, 11:00 AM EST","N'shei News","whatsapp TIME SENSITIVE","Sara Schenirer",""
"12/07/2025, 10:00 AM EST","N'shei News","whatsapp TIME SENSITIVE","Barbara Tuckel",""
"12/07/2025, 09:00 AM EST","Meira K.","instagram-story","Karnei Shomron",""
"12/07/2025, 09:00 AM EST","Torah Blast","email","Amudim",""
"12/06/2025, 06:00 PM EST","Between Carpools","whatsapp","TTI Testing and Training",""
"12/06/2025, 06:00 PM EST","VINnews (Vos Iz Neias)","email","Amudim",""
"12/03/2025, 09:00 AM EST","Meaningful Minute","instagram-story","Lander College of Arts & Sciences",""
"12/02/2025, 08:00 PM EST","Between Carpools","whatsapp","TTI Testing and Training",""
"12/01/2025, 07:00 PM EST","Between Carpools","whatsapp","Zichron Paltiel",""
"12/01/2025, 10:00 AM EST","Yiddishe Simchas","instagram-story","Mofit",""
"11/29/2025, 06:00 PM EST","Between Carpools","whatsapp","Drink and Drive",""
"11/26/2025, 11:00 AM EST","TorahAnytime","whatsapp","TOURO COLLEGE AND UNIVERSITY SYSTEM",""
"11/26/2025, 09:00 AM EST","Achdus Bulletin","email","MTI",""
"11/25/2025, 07:00 PM EST","Israel Breaking News","whatsapp","Kelly Stern Development",""
"11/08/2025, 08:00 PM EST","My Jewish Florida","whatsapp-group TIME SENSITIVE","finger check",""
